iter	MultiClass
0	3.862851956
1	3.620420513
2	3.468584652
3	3.280590342
4	3.135738455
5	3.038371291
6	2.898352208
7	2.770693507
8	2.671928152
9	2.579187839
10	2.485711403
11	2.39464734
12	2.315679861
13	2.230468037
14	2.171070675
15	2.10621586
16	2.037132268
17	1.966247315
18	1.891329357
19	1.831304108
20	1.76921568
21	1.703797905
22	1.648865187
23	1.600757892
24	1.557188113
25	1.509931941
26	1.467637056
27	1.422462396
28	1.388731212
29	1.343455392
30	1.303367915
31	1.267431072
32	1.227501175
33	1.193778648
34	1.162816204
35	1.127285613
36	1.090909439
37	1.060905244
38	1.030763764
39	0.9957221698
40	0.9753355202
41	0.9473417029
42	0.9244045777
43	0.9016441201
44	0.8811389968
45	0.8640772972
46	0.8482120818
47	0.8297214714
48	0.8138346655
49	0.7933597634
50	0.7758410732
51	0.7604051058
52	0.7456073526
53	0.7342909004
54	0.7204383465
55	0.7065220965
56	0.6949409589
57	0.6773403833
58	0.6596502473
59	0.6483224742
60	0.634598691
61	0.6204640643
62	0.6093200159
63	0.599253426
64	0.5896008835
65	0.5820701836
66	0.5777411549
67	0.5667287909
68	0.5555660873
69	0.5462614339
70	0.53670753
71	0.5288723855
72	0.5259367237
73	0.5172952038
74	0.5105080721
75	0.5013367448
76	0.4929272596
77	0.483190571
78	0.4772827857
79	0.4711356009
80	0.4672211408
81	0.4596272101
