iter	Passed	Remaining
0	4550	450478
1	9002	441118
2	13674	442148
3	18473	443359
4	23442	445411
5	28682	449351
6	34222	454674
7	40441	465071
8	46588	471063
9	53689	483205
10	61323	496164
11	68592	503009
12	75959	508346
13	83449	512621
14	89687	508231
15	95142	499496
16	99959	488037
17	104541	476246
18	108870	464133
19	113003	452015
20	116891	439735
21	120852	428477
22	124900	418146
23	128894	408164
24	132833	398500
25	136886	389598
26	141093	381474
27	145397	373878
28	149866	366914
29	154499	360498
30	158746	353340
31	163081	346547
32	167809	340704
33	172699	335239
34	178222	330985
35	183610	326417
36	189444	322567
37	196024	319829
38	203093	317658
39	209599	314399
40	215497	310105
41	219158	302646
42	222827	295376
43	226189	287877
44	229765	280825
45	233484	274090
46	237001	267256
47	240597	260647
48	244194	254162
49	247955	247955
50	252095	242209
51	256021	236327
52	259689	230290
53	263443	224414
54	267272	218677
55	271241	213118
56	275570	207886
57	280226	202922
58	285107	198125
59	290153	193435
60	295442	188889
61	301261	184644
62	307305	180480
63	313579	176388
64	319736	172165
65	325393	167627
66	330326	162698
67	334902	157601
68	339103	152350
69	343070	147030
70	346700	141610
71	350086	136144
72	353396	130708
73	356697	125326
74	359935	119978
75	363202	114695
76	366412	109447
77	369707	104276
78	373003	99152
79	376337	94084
80	379698	89065
81	384159	84327
